index,build,test_index,numRounds,file_size,key_size,threads,LATENCY,run_index
0,local,0,5,8,8,2,0.000308,0
1,local,0,5,8,8,2,0.00023,1
2,local,0,5,8,8,2,0.000268,2
3,local,1,5,16,8,2,0.000277,0
4,local,1,5,16,8,2,0.000278,1
5,local,1,5,16,8,2,0.00028,2
6,local,2,5,32,8,2,0.000321,0
7,local,2,5,32,8,2,0.000422,1
8,local,2,5,32,8,2,0.000327,2
9,local,3,5,64,8,2,0.000237,0
10,local,3,5,64,8,2,0.000346,1
11,local,3,5,64,8,2,0.000444,2
12,local,4,5,8,16,2,0.000332,0
13,local,4,5,8,16,2,0.000466,1
14,local,4,5,8,16,2,0.000376,2
15,local,5,5,16,16,2,0.000352,0
16,local,5,5,16,16,2,0.000518,1
17,local,5,5,16,16,2,0.000224,2
18,local,6,5,32,16,2,0.000293,0
19,local,6,5,32,16,2,0.000472,1
20,local,6,5,32,16,2,0.000298,2
21,local,7,5,64,16,2,0.000311,0
22,local,7,5,64,16,2,0.000271,1
23,local,7,5,64,16,2,0.000709,2
24,local,8,5,8,32,2,0.000256,0
25,local,8,5,8,32,2,0.000258,1
26,local,8,5,8,32,2,0.000584,2
27,local,9,5,16,32,2,0.00034,0
28,local,9,5,16,32,2,0.000449,1
29,local,9,5,16,32,2,0.000577,2
30,local,10,5,32,32,2,0.000453,0
31,local,10,5,32,32,2,0.000272,1
32,local,10,5,32,32,2,0.00057,2
33,local,11,5,64,32,2,0.000275,0
34,local,11,5,64,32,2,0.000317,1
35,local,11,5,64,32,2,0.000375,2
36,local,12,5,8,64,2,0.000595,0
37,local,12,5,8,64,2,0.000348,1
38,local,12,5,8,64,2,0.00027,2
39,local,13,5,16,64,2,0.000641,0
40,local,13,5,16,64,2,0.000401,1
41,local,13,5,16,64,2,0.000322,2
42,local,14,5,32,64,2,0.000251,0
43,local,14,5,32,64,2,0.00108,1
44,local,14,5,32,64,2,0.000315,2
45,local,15,5,64,64,2,0.000394,0
46,local,15,5,64,64,2,0.000327,1
47,local,15,5,64,64,2,0.000505,2
48,local,16,5,8,8,4,0.000259,0
49,local,16,5,8,8,4,0.000249,1
50,local,16,5,8,8,4,0.000301,2
51,local,17,5,16,8,4,0.000275,0
52,local,17,5,16,8,4,0.000376,1
53,local,17,5,16,8,4,0.000306,2
54,local,18,5,32,8,4,0.000373,0
55,local,18,5,32,8,4,0.000274,1
56,local,18,5,32,8,4,0.000374,2
57,local,19,5,64,8,4,0.000457,0
58,local,19,5,64,8,4,0.000356,1
59,local,19,5,64,8,4,0.000667,2
60,local,20,5,8,16,4,0.000335,0
61,local,20,5,8,16,4,0.000321,1
62,local,20,5,8,16,4,0.000365,2
63,local,21,5,16,16,4,0.000335,0
64,local,21,5,16,16,4,0.000292,1
65,local,21,5,16,16,4,0.000584,2
66,local,22,5,32,16,4,0.000257,0
67,local,22,5,32,16,4,0.000326,1
68,local,22,5,32,16,4,0.000355,2
69,local,23,5,64,16,4,0.000266,0
70,local,23,5,64,16,4,0.000512,1
71,local,23,5,64,16,4,0.000655,2
72,local,24,5,8,32,4,0.000435,0
73,local,24,5,8,32,4,0.000376,1
74,local,24,5,8,32,4,0.000455,2
75,local,25,5,16,32,4,0.000214,0
76,local,25,5,16,32,4,0.000371,1
77,local,25,5,16,32,4,0.000411,2
78,local,26,5,32,32,4,0.000273,0
79,local,26,5,32,32,4,0.000279,1
80,local,26,5,32,32,4,0.000349,2
81,local,27,5,64,32,4,0.000351,0
82,local,27,5,64,32,4,0.00039,1
83,local,27,5,64,32,4,0.000445,2
84,local,28,5,8,64,4,0.000239,0
85,local,28,5,8,64,4,0.000336,1
86,local,28,5,8,64,4,0.000486,2
87,local,29,5,16,64,4,0.00035,0
88,local,29,5,16,64,4,0.000251,1
89,local,29,5,16,64,4,0.000306,2
90,local,30,5,32,64,4,0.000478,0
91,local,30,5,32,64,4,0.000462,1
92,local,30,5,32,64,4,0.00036,2
93,local,31,5,64,64,4,0.00032,0
94,local,31,5,64,64,4,0.000368,1
95,local,31,5,64,64,4,0.000238,2
96,local,32,5,8,8,6,0.000269,0
97,local,32,5,8,8,6,0.000465,1
98,local,32,5,8,8,6,0.000379,2
99,local,33,5,16,8,6,0.000549,0
100,local,33,5,16,8,6,0.00086,1
101,local,33,5,16,8,6,0.000296,2
102,local,34,5,32,8,6,0.000516,0
103,local,34,5,32,8,6,0.000652,1
104,local,34,5,32,8,6,0.000327,2
