index,build,test_index,numRounds,file_size,key_size,threads,debits,LATENCY,REQ,TRANSFER,run_index
0,local,0,1,32,32,2,200,0.000685,108.88,32757.76,0
1,local,0,1,32,32,2,200,0.00775,107.99,32757.76,1
2,local,0,1,32,32,2,200,0.000753,107.71,32757.76,2
3,local,1,10,32,32,2,200,0.00718,108.59,32204.8,0
4,local,1,10,32,32,2,200,0.00828,108.38,32757.76,1
5,local,1,10,32,32,2,200,0.00098,108.16,32757.76,2
6,local,2,100,32,32,2,200,0.00822,108.51,32757.76,0
7,local,2,100,32,32,2,200,0.0065,107.81,32757.76,1
8,local,2,100,32,32,2,200,0.00821,108.56,32757.76,2
9,local,3,1,128,32,2,200,0.004940000000000001,107.3,49735.68,0
10,local,3,1,128,32,2,200,0.00651,107.79,49725.44,1
11,local,3,1,128,32,2,200,0.00797,108.11,49725.44,2
12,local,4,10,128,32,2,200,0.00865,109.48,49725.44,0
13,local,4,10,128,32,2,200,0.007730000000000001,107.82,49735.68,1
14,local,4,10,128,32,2,200,0.00424,108.0,49725.44,2
15,local,5,100,128,32,2,200,0.00824,108.39,49725.44,0
16,local,5,100,128,32,2,200,0.00754,109.15,49725.44,1
17,local,5,100,128,32,2,200,0.008400000000000001,108.6,49725.44,2
18,local,6,1,256,32,2,200,0.005030000000000001,108.63,80885.76,0
19,local,6,1,256,32,2,200,0.00434,108.64,80885.76,1
20,local,6,1,256,32,2,200,0.008320000000000001,108.23,80885.76,2
21,local,7,10,256,32,2,200,0.00851,108.99,80885.76,0
22,local,7,10,256,32,2,200,0.008060000000000001,108.54,80885.76,1
23,local,7,10,256,32,2,200,0.005719999999999999,107.76,80885.76,2
24,local,8,100,256,32,2,200,0.00881,108.03,80885.76,0
25,local,8,100,256,32,2,200,0.009210000000000001,108.02,80885.76,1
26,local,8,100,256,32,2,200,0.0091,108.11,80885.76,2
27,local,9,1,32,128,2,200,0.0038,107.98,32757.76,0
28,local,9,1,32,128,2,200,0.0076,107.84,32757.76,1
29,local,9,1,32,128,2,200,0.00635,107.93,32757.76,2
30,local,10,10,32,128,2,200,0.008,108.22,32757.76,0
31,local,10,10,32,128,2,200,0.006719999999999999,108.2,32757.76,1
32,local,10,10,32,128,2,200,0.00625,108.33,32757.76,2
33,local,11,100,32,128,2,200,0.008400000000000001,108.7,32757.76,0
34,local,11,100,32,128,2,200,0.00838,108.29,32757.76,1
35,local,11,100,32,128,2,200,0.00816,109.11,32757.76,2
36,local,12,1,128,128,2,200,0.00523,108.63,49725.44,0
37,local,12,1,128,128,2,200,0.00717,109.09,49725.44,1
38,local,12,1,128,128,2,200,0.00881,107.85,49725.44,2
39,local,13,10,128,128,2,200,0.00833,108.01,49735.68,0
40,local,13,10,128,128,2,200,0.00858,108.16,49735.68,1
41,local,13,10,128,128,2,200,0.00856,108.4,49735.68,2
42,local,14,100,128,128,2,200,0.00966,107.94,49725.44,0
43,local,14,100,128,128,2,200,0.0075899999999999995,108.37,49725.44,1
44,local,14,100,128,128,2,200,0.00956,108.12,49725.44,2
45,local,15,1,256,128,2,200,0.00642,108.7,80885.76,0
46,local,15,1,256,128,2,200,0.00367,107.95,80885.76,1
47,local,15,1,256,128,2,200,0.00635,108.04,80875.52,2
48,local,16,10,256,128,2,200,0.008230000000000001,108.09,80885.76,0
49,local,16,10,256,128,2,200,0.008199999999999999,108.53,80885.76,1
50,local,16,10,256,128,2,200,0.0074199999999999995,108.58,80885.76,2
51,local,17,100,256,128,2,200,0.0148,105.7,80885.76,0
52,local,17,100,256,128,2,200,0.01438,106.79,80885.76,1
53,local,17,100,256,128,2,200,0.01282,107.23,80885.76,2
54,local,18,1,32,256,2,200,0.008490000000000001,108.0,32757.76,0
55,local,18,1,32,256,2,200,0.00643,108.52,32757.76,1
56,local,18,1,32,256,2,200,0.00862,108.06,32757.76,2
57,local,19,10,32,256,2,200,0.008199999999999999,108.06,32757.76,0
58,local,19,10,32,256,2,200,0.00714,108.61,32757.76,1
59,local,19,10,32,256,2,200,0.007809999999999999,107.98,32757.76,2
60,local,20,100,32,256,2,200,0.00758,108.63,32757.76,0
61,local,20,100,32,256,2,200,0.0064800000000000005,108.97,32747.52,1
62,local,20,100,32,256,2,200,0.0087,108.5,32757.76,2
63,local,21,1,128,256,2,200,0.00517,108.91,49735.68,0
64,local,21,1,128,256,2,200,0.008539999999999999,108.03,49725.44,1
65,local,21,1,128,256,2,200,0.00774,108.35,49735.68,2
66,local,22,10,128,256,2,200,0.00741,109.27,49735.68,0
67,local,22,10,128,256,2,200,0.008289999999999999,108.43,49725.44,1
68,local,22,10,128,256,2,200,0.008369999999999999,108.08,49725.44,2
69,local,23,100,128,256,2,200,0.00934,108.16,49725.44,0
70,local,23,100,128,256,2,200,0.00975,107.78,49725.44,1
71,local,23,100,128,256,2,200,0.00916,107.89,49725.44,2
72,local,24,1,256,256,2,200,0.00876,108.75,80885.76,0
73,local,24,1,256,256,2,200,0.00724,107.96,80885.76,1
74,local,24,1,256,256,2,200,0.00758,107.96,80885.76,2
75,local,25,10,256,256,2,200,0.0038599999999999997,108.45,80885.76,0
76,local,25,10,256,256,2,200,0.00817,108.96,80885.76,1
77,local,25,10,256,256,2,200,0.00248,108.65,80885.76,2
78,local,26,100,256,256,2,200,0.01731,103.43,80875.52,0
79,local,26,100,256,256,2,200,0.018539999999999997,103.44,80875.52,1
80,local,26,100,256,256,2,200,0.02264,103.43,80885.76,2
81,local,27,1,32,32,4,200,0.00843,53.43,32501.76,0
82,local,27,1,32,32,4,200,0.0013,53.33,32778.24,1
83,local,27,1,32,32,4,200,0.00754,53.49,32778.24,2
84,local,28,10,32,32,4,200,0.00817,53.25,32778.24,0
85,local,28,10,32,32,4,200,0.008,53.42,32778.24,1
86,local,28,10,32,32,4,200,0.00642,53.47,32778.24,2
87,local,29,100,32,32,4,200,0.00805,53.63,32778.24,0
88,local,29,100,32,32,4,200,0.0062900000000000005,53.49,32778.24,1
89,local,29,100,32,32,4,200,0.0011899999999999999,53.59,32778.24,2
90,local,30,1,128,32,4,200,0.008150000000000001,53.56,49766.4,0
91,local,30,1,128,32,4,200,0.00819,53.64,49756.16,1
92,local,30,1,128,32,4,200,0.00745,53.5,49756.16,2
93,local,31,10,128,32,4,200,0.00827,53.27,49766.4,0
94,local,31,10,128,32,4,200,0.000648,53.32,49756.16,1
95,local,31,10,128,32,4,200,0.00631,53.5,49766.4,2
96,local,32,100,128,32,4,200,0.00865,53.28,49756.16,0
97,local,32,100,128,32,4,200,0.00868,53.22,49766.4,1
98,local,32,100,128,32,4,200,0.0072699999999999996,53.5,49756.16,2
99,local,33,1,256,32,4,200,0.000786,53.38,80947.2,0
100,local,33,1,256,32,4,200,0.00398,53.31,80936.96,1
101,local,33,1,256,32,4,200,0.00828,53.25,80947.2,2
