index,build,test_index,numRounds,file_size,key_size,threads,debits,LATENCY,REQ,run_index
0,local,0,1,8,8,2,100,0.000563,52.87,0
1,local,0,1,8,8,2,100,0.0009,51.95,1
2,local,0,1,8,8,2,100,0.000725,51.79,2
3,local,1,10,8,8,2,100,0.00132,52.35,0
4,local,1,10,8,8,2,100,0.00094,51.79,1
5,local,1,10,8,8,2,100,0.00126,52.01,2
6,local,2,100,8,8,2,100,0.00128,52.12,0
7,local,2,100,8,8,2,100,0.00108,51.91,1
8,local,2,100,8,8,2,100,0.00092,51.88,2
9,local,3,1,16,8,2,100,0.00086,52.32,0
10,local,3,1,16,8,2,100,0.000752,52.24,1
11,local,3,1,16,8,2,100,0.00128,52.01,2
12,local,4,10,16,8,2,100,0.00113,52.13,0
13,local,4,10,16,8,2,100,0.00115,51.91,1
14,local,4,10,16,8,2,100,0.00109,51.86,2
15,local,5,100,16,8,2,100,0.00101,52.3,0
16,local,5,100,16,8,2,100,0.00113,52.05,1
17,local,5,100,16,8,2,100,0.000364,52.71,2
18,local,6,1,32,8,2,100,0.0008,52.21,0
19,local,6,1,32,8,2,100,0.000738,52.09,1
20,local,6,1,32,8,2,100,0.00087,52.38,2
21,local,7,10,32,8,2,100,0.000656,52.04,0
22,local,7,10,32,8,2,100,0.00113,52.86,1
23,local,7,10,32,8,2,100,0.00767,52.36,2
24,local,8,100,32,8,2,100,0.0011,52.22,0
25,local,8,100,32,8,2,100,0.0009,52.81,1
26,local,8,100,32,8,2,100,0.00102,52.39,2
27,local,9,1,64,8,2,100,0.001,52.42,0
28,local,9,1,64,8,2,100,0.000602,52.68,1
29,local,9,1,64,8,2,100,0.00145,52.19,2
30,local,10,10,64,8,2,100,0.0062900000000000005,52.81,0
31,local,10,10,64,8,2,100,0.000434,52.36,1
32,local,10,10,64,8,2,100,0.00087,52.63,2
33,local,11,100,64,8,2,100,0.00171,52.09,0
34,local,11,100,64,8,2,100,0.0014199999999999998,52.44,1
35,local,11,100,64,8,2,100,0.00101,53.36,2
36,local,12,1,8,16,2,100,0.000789,51.78,0
37,local,12,1,8,16,2,100,0.00085,52.17,1
38,local,12,1,8,16,2,100,0.00113,51.9,2
39,local,13,10,8,16,2,100,0.000414,52.33,0
40,local,13,10,8,16,2,100,0.000565,52.01,1
41,local,13,10,8,16,2,100,0.000768,51.77,2
42,local,14,100,8,16,2,100,0.00116,52.53,0
43,local,14,100,8,16,2,100,0.00147,51.86,1
44,local,14,100,8,16,2,100,0.0012900000000000001,51.7,2
45,local,15,1,16,16,2,100,0.00108,52.29,0
46,local,15,1,16,16,2,100,0.00087,52.01,1
47,local,15,1,16,16,2,100,0.00109,52.63,2
48,local,16,10,16,16,2,100,0.000453,52.15,0
49,local,16,10,16,16,2,100,0.000583,51.89,1
50,local,16,10,16,16,2,100,0.000214,52.76,2
51,local,17,100,16,16,2,100,0.000848,51.62,0
52,local,17,100,16,16,2,100,0.00133,52.29,1
53,local,17,100,16,16,2,100,0.0015300000000000001,52.17,2
54,local,18,1,32,16,2,100,0.000728,52.34,0
55,local,18,1,32,16,2,100,0.00091,52.27,1
56,local,18,1,32,16,2,100,0.00077,52.08,2
57,local,19,10,32,16,2,100,0.00123,52.03,0
58,local,19,10,32,16,2,100,0.00094,52.14,1
59,local,19,10,32,16,2,100,0.00095,52.74,2
60,local,20,100,32,16,2,100,0.0017900000000000001,52.25,0
61,local,20,100,32,16,2,100,0.000551,52.57,1
62,local,20,100,32,16,2,100,0.000667,52.11,2
63,local,21,1,64,16,2,100,0.00071,52.78,0
64,local,21,1,64,16,2,100,0.000653,52.57,1
65,local,21,1,64,16,2,100,0.000264,52.74,2
66,local,22,10,64,16,2,100,0.000702,52.12,0
67,local,22,10,64,16,2,100,0.00091,52.52,1
68,local,22,10,64,16,2,100,0.00078,52.4,2
69,local,23,100,64,16,2,100,0.00134,52.34,0
70,local,23,100,64,16,2,100,0.00212,51.93,1
71,local,23,100,64,16,2,100,0.00228,52.61,2
72,local,24,1,8,32,2,100,0.000258,52.73,0
73,local,24,1,8,32,2,100,0.00125,51.96,1
74,local,24,1,8,32,2,100,0.000473,52.76,2
75,local,25,10,8,32,2,100,0.000782,51.77,0
76,local,25,10,8,32,2,100,0.000427,53.06,1
77,local,25,10,8,32,2,100,0.00126,51.99,2
78,local,26,100,8,32,2,100,0.000538,52.55,0
79,local,26,100,8,32,2,100,0.000348,53.19,1
80,local,26,100,8,32,2,100,0.00086,52.14,2
81,local,27,1,16,32,2,100,0.000805,51.82,0
82,local,27,1,16,32,2,100,0.000371,52.53,1
83,local,27,1,16,32,2,100,0.000573,52.13,2
84,local,28,10,16,32,2,100,0.01586,51.76,0
85,local,28,10,16,32,2,100,0.000579,52.38,1
86,local,28,10,16,32,2,100,0.000583,52.77,2
87,local,29,100,16,32,2,100,0.00092,51.78,0
88,local,29,100,16,32,2,100,0.00128,52.19,1
89,local,29,100,16,32,2,100,0.00165,52.11,2
90,local,30,1,32,32,2,100,0.000827,52.19,0
91,local,30,1,32,32,2,100,0.000428,52.64,1
92,local,30,1,32,32,2,100,0.00046,52.64,2
93,local,31,10,32,32,2,100,0.00017,52.93,0
94,local,31,10,32,32,2,100,0.000593,53.02,1
95,local,31,10,32,32,2,100,0.000569,51.54,2
96,local,32,100,32,32,2,100,0.00093,52.72,0
97,local,32,100,32,32,2,100,0.00141,52.25,1
98,local,32,100,32,32,2,100,0.00115,51.72,2
99,local,33,1,64,32,2,100,0.000842,52.32,0
100,local,33,1,64,32,2,100,0.000486,52.14,1
101,local,33,1,64,32,2,100,0.000495,52.09,2
102,local,34,10,64,32,2,100,0.000685,51.92,0
103,local,34,10,64,32,2,100,0.000458,52.49,1
104,local,34,10,64,32,2,100,0.000796,52.36,2
105,local,35,100,64,32,2,100,0.003,52.17,0
106,local,35,100,64,32,2,100,0.00131,51.97,1
107,local,35,100,64,32,2,100,0.000555,53.12,2
108,local,36,1,8,64,2,100,0.000842,52.56,0
109,local,36,1,8,64,2,100,0.0009599999999999999,52.42,1
110,local,36,1,8,64,2,100,0.000818,51.73,2
111,local,37,10,8,64,2,100,0.000794,52.67,0
112,local,37,10,8,64,2,100,0.000545,52.22,1
113,local,37,10,8,64,2,100,0.000559,52.92,2
114,local,38,100,8,64,2,100,0.00086,53.14,0
115,local,38,100,8,64,2,100,0.00128,52.74,1
116,local,38,100,8,64,2,100,0.000678,52.66,2
117,local,39,1,16,64,2,100,0.00102,52.95,0
118,local,39,1,16,64,2,100,0.000497,53.04,1
119,local,39,1,16,64,2,100,0.000797,52.34,2
120,local,40,10,16,64,2,100,0.000795,52.34,0
121,local,40,10,16,64,2,100,0.000495,52.67,1
122,local,40,10,16,64,2,100,0.00043,52.52,2
123,local,41,100,16,64,2,100,0.0011,52.42,0
124,local,41,100,16,64,2,100,0.00133,52.15,1
125,local,41,100,16,64,2,100,0.000618,52.21,2
126,local,42,1,32,64,2,100,0.000284,52.34,0
127,local,42,1,32,64,2,100,0.0011,52.21,1
128,local,42,1,32,64,2,100,0.00121,52.22,2
129,local,43,10,32,64,2,100,0.0011200000000000001,52.03,0
130,local,43,10,32,64,2,100,0.000839,52.7,1
131,local,43,10,32,64,2,100,0.0012,52.02,2
132,local,44,100,32,64,2,100,0.0016200000000000001,52.17,0
133,local,44,100,32,64,2,100,0.00075,52.65,1
134,local,44,100,32,64,2,100,0.00115,52.82,2
135,local,45,1,64,64,2,100,0.000712,52.18,0
136,local,45,1,64,64,2,100,0.00108,52.42,1
137,local,45,1,64,64,2,100,0.00077,52.3,2
138,local,46,10,64,64,2,100,0.00083,52.19,0
139,local,46,10,64,64,2,100,0.00094,52.03,1
140,local,46,10,64,64,2,100,0.00107,52.29,2
141,local,47,100,64,64,2,100,0.00425,52.45,0
142,local,47,100,64,64,2,100,0.0041600000000000005,51.88,1
143,local,47,100,64,64,2,100,0.00454,52.42,2
144,local,48,1,8,8,4,100,0.00108,26.13,0
145,local,48,1,8,8,4,100,0.00113,26.27,1
146,local,48,1,8,8,4,100,0.00095,26.38,2
147,local,49,10,8,8,4,100,0.00116,26.19,0
148,local,49,10,8,8,4,100,0.0010400000000000001,25.87,1
149,local,49,10,8,8,4,100,0.00092,26.19,2
150,local,50,100,8,8,4,100,0.00116,26.46,0
