index,build,test_index,numRounds,file_size,key_size,threads,debits,LATENCY,REQ,run_index
0,local,0,5,8,8,2,100,0.0014399999999999999,52.19,0
1,local,0,5,8,8,2,100,0.00872,51.45,1
2,local,0,5,8,8,2,100,0.0016699999999999998,52.27,2
3,local,1,5,16,8,2,100,0.00792,51.93,0
4,local,1,5,16,8,2,100,0.00125,52.27,1
5,local,1,5,16,8,2,100,0.00151,52.27,2
6,local,2,5,32,8,2,100,0.00149,51.98,0
7,local,2,5,32,8,2,100,0.00714,51.97,1
8,local,2,5,32,8,2,100,0.0013700000000000001,51.55,2
9,local,3,5,64,8,2,100,0.00895,52.28,0
10,local,3,5,64,8,2,100,0.0016699999999999998,52.0,1
11,local,3,5,64,8,2,100,0.00124,52.45,2
12,local,4,5,8,16,2,100,0.00122,51.81,0
13,local,4,5,8,16,2,100,0.0012900000000000001,52.02,1
14,local,4,5,8,16,2,100,0.00132,51.53,2
15,local,5,5,16,16,2,100,0.00132,52.01,0
16,local,5,5,16,16,2,100,0.0014,51.57,1
17,local,5,5,16,16,2,100,0.00377,51.5,2
18,local,6,5,32,16,2,100,0.00363,52.39,0
19,local,6,5,32,16,2,100,0.0014299999999999998,51.63,1
20,local,6,5,32,16,2,100,0.00148,51.45,2
21,local,7,5,64,16,2,100,0.00894,51.92,0
22,local,7,5,64,16,2,100,0.00147,52.34,1
23,local,7,5,64,16,2,100,0.00791,52.19,2
24,local,8,5,8,32,2,100,0.00227,51.97,0
25,local,8,5,8,32,2,100,0.00149,51.82,1
26,local,8,5,8,32,2,100,0.00165,51.65,2
27,local,9,5,16,32,2,100,0.0018700000000000001,52.32,0
28,local,9,5,16,32,2,100,0.00838,52.38,1
29,local,9,5,16,32,2,100,0.00115,52.08,2
30,local,10,5,32,32,2,100,0.00086,52.67,0
31,local,10,5,32,32,2,100,0.00093,53.18,1
32,local,10,5,32,32,2,100,0.000462,53.33,2
33,local,11,5,64,32,2,100,0.00049,53.95,0
34,local,11,5,64,32,2,100,0.0012900000000000001,52.62,1
35,local,11,5,64,32,2,100,0.00156,52.02,2
36,local,12,5,8,64,2,100,0.00164,51.46,0
37,local,12,5,8,64,2,100,0.00146,52.6,1
38,local,12,5,8,64,2,100,0.008140000000000001,51.37,2
39,local,13,5,16,64,2,100,0.00155,51.8,0
40,local,13,5,16,64,2,100,0.0015400000000000001,51.71,1
41,local,13,5,16,64,2,100,0.0011899999999999999,51.62,2
42,local,14,5,32,64,2,100,0.0014399999999999999,52.22,0
43,local,14,5,32,64,2,100,0.00148,52.48,1
44,local,14,5,32,64,2,100,0.0017900000000000001,52.03,2
45,local,15,5,64,64,2,100,0.00207,52.13,0
46,local,15,5,64,64,2,100,0.00146,51.98,1
47,local,15,5,64,64,2,100,0.00145,52.1,2
48,local,16,5,8,8,4,100,0.00151,26.1,0
49,local,16,5,8,8,4,100,0.0087,25.96,1
50,local,16,5,8,8,4,100,0.00233,26.01,2
51,local,17,5,16,8,4,100,0.00156,26.22,0
52,local,17,5,16,8,4,100,0.00643,25.94,1
53,local,17,5,16,8,4,100,0.00175,26.03,2
54,local,18,5,32,8,4,100,0.00822,26.14,0
55,local,18,5,32,8,4,100,0.00145,25.88,1
56,local,18,5,32,8,4,100,0.0017800000000000001,26.28,2
57,local,19,5,64,8,4,100,0.00157,26.1,0
58,local,19,5,64,8,4,100,0.00157,26.09,1
59,local,19,5,64,8,4,100,0.00722,26.28,2
60,local,20,5,8,16,4,100,0.0015,26.22,0
61,local,20,5,8,16,4,100,0.00161,25.93,1
62,local,20,5,8,16,4,100,0.00231,26.2,2
63,local,21,5,16,16,4,100,0.00147,26.23,0
64,local,21,5,16,16,4,100,0.0015400000000000001,26.15,1
65,local,21,5,16,16,4,100,0.00164,26.14,2
66,local,22,5,32,16,4,100,0.00163,26.17,0
67,local,22,5,32,16,4,100,0.005059999999999999,26.26,1
68,local,22,5,32,16,4,100,0.00147,26.07,2
69,local,23,5,64,16,4,100,0.00138,26.11,0
70,local,23,5,64,16,4,100,0.0024500000000000004,26.06,1
71,local,23,5,64,16,4,100,0.00176,26.21,2
72,local,24,5,8,32,4,100,0.0016,26.02,0
73,local,24,5,8,32,4,100,0.00147,26.04,1
74,local,24,5,8,32,4,100,0.00156,26.09,2
75,local,25,5,16,32,4,100,0.00146,26.08,0
76,local,25,5,16,32,4,100,0.0029,26.02,1
77,local,25,5,16,32,4,100,0.0022,26.18,2
78,local,26,5,32,32,4,100,0.00157,25.98,0
79,local,26,5,32,32,4,100,0.00174,26.15,1
80,local,26,5,32,32,4,100,0.0030099999999999997,26.01,2
81,local,27,5,64,32,4,100,0.00133,26.14,0
82,local,27,5,64,32,4,100,0.00173,26.07,1
83,local,27,5,64,32,4,100,0.00198,25.88,2
84,local,28,5,8,64,4,100,0.004849999999999999,26.09,0
85,local,28,5,8,64,4,100,0.0017,26.03,1
86,local,28,5,8,64,4,100,0.00376,26.2,2
87,local,29,5,16,64,4,100,0.0018,26.08,0
88,local,29,5,16,64,4,100,0.0017900000000000001,26.11,1
89,local,29,5,16,64,4,100,0.0016699999999999998,25.99,2
90,local,30,5,32,64,4,100,0.00294,26.06,0
91,local,30,5,32,64,4,100,0.00181,26.23,1
92,local,30,5,32,64,4,100,0.007690000000000001,26.05,2
93,local,31,5,64,64,4,100,0.0076,26.08,0
94,local,31,5,64,64,4,100,0.00197,26.13,1
95,local,31,5,64,64,4,100,0.00166,26.14,2
96,local,32,5,8,8,6,100,0.00628,16.72,0
97,local,32,5,8,8,6,100,0.00148,16.74,1
98,local,32,5,8,8,6,100,0.0014299999999999998,16.64,2
99,local,33,5,16,8,6,100,0.008919999999999999,16.83,0
100,local,33,5,16,8,6,100,0.00519,16.63,1
101,local,33,5,16,8,6,100,0.00532,16.74,2
102,local,34,5,32,8,6,100,0.00889,16.84,0
103,local,34,5,32,8,6,100,0.00856,16.8,1
104,local,34,5,32,8,6,100,0.00155,16.7,2
105,local,35,5,64,8,6,100,0.0016,16.75,0
106,local,35,5,64,8,6,100,0.00145,16.82,1
107,local,35,5,64,8,6,100,0.00604,16.83,2
108,local,36,5,8,16,6,100,0.01013,16.83,0
109,local,36,5,8,16,6,100,0.0015,16.7,1
110,local,36,5,8,16,6,100,0.0014299999999999998,16.74,2
111,local,37,5,16,16,6,100,0.0027,16.69,0
112,local,37,5,16,16,6,100,0.004860000000000001,16.71,1
113,local,37,5,16,16,6,100,0.00898,16.74,2
114,local,38,5,32,16,6,100,0.00431,16.74,0
115,local,38,5,32,16,6,100,0.00414,16.74,1
116,local,38,5,32,16,6,100,0.00151,16.8,2
117,local,39,5,64,16,6,100,0.00149,16.8,0
118,local,39,5,64,16,6,100,0.00329,16.69,1
119,local,39,5,64,16,6,100,0.0014299999999999998,16.86,2
120,local,40,5,8,32,6,100,0.00138,16.63,0
121,local,40,5,8,32,6,100,0.00136,16.77,1
122,local,40,5,8,32,6,100,0.00492,16.78,2
123,local,41,5,16,32,6,100,0.0013700000000000001,16.62,0
124,local,41,5,16,32,6,100,0.0013700000000000001,16.83,1
125,local,41,5,16,32,6,100,0.00147,16.71,2
126,local,42,5,32,32,6,100,0.0056,16.75,0
127,local,42,5,32,32,6,100,0.00156,16.83,1
128,local,42,5,32,32,6,100,0.0016,16.61,2
129,local,43,5,64,32,6,100,0.00449,16.73,0
130,local,43,5,64,32,6,100,0.00867,16.79,1
131,local,43,5,64,32,6,100,0.00813,16.75,2
132,local,44,5,8,64,6,100,0.004059999999999999,16.8,0
133,local,44,5,8,64,6,100,0.0019299999999999999,16.79,1
134,local,44,5,8,64,6,100,0.00474,16.71,2
135,local,45,5,16,64,6,100,0.00149,16.64,0
136,local,45,5,16,64,6,100,0.00139,16.77,1
137,local,45,5,16,64,6,100,0.00138,16.74,2
138,local,46,5,32,64,6,100,0.00151,16.7,0
