index,build,test_index,numRounds,file_size,key_size,threads,LATENCY,run_index
0,local,0,5,8,8,2,0.000434,0
1,local,0,5,8,8,2,0.000261,1
2,local,0,5,8,8,2,0.000265,2
3,local,1,5,16,8,2,0.000361,0
4,local,1,5,16,8,2,0.000359,1
5,local,1,5,16,8,2,0.000345,2
6,local,2,5,32,8,2,0.000544,0
7,local,2,5,32,8,2,0.000387,1
8,local,2,5,32,8,2,0.000338,2
9,local,3,5,64,8,2,0.00044,0
10,local,3,5,64,8,2,0.000268,1
11,local,3,5,64,8,2,0.000573,2
12,local,4,5,8,16,2,0.000244,0
13,local,4,5,8,16,2,0.000476,1
14,local,4,5,8,16,2,0.000396,2
15,local,5,5,16,16,2,0.000505,0
16,local,5,5,16,16,2,0.000394,1
17,local,5,5,16,16,2,0.000478,2
18,local,6,5,32,16,2,0.000335,0
19,local,6,5,32,16,2,0.000293,1
20,local,6,5,32,16,2,0.000432,2
21,local,7,5,64,16,2,0.000552,0
22,local,7,5,64,16,2,0.000347,1
23,local,7,5,64,16,2,0.000315,2
24,local,8,5,8,32,2,0.000329,0
25,local,8,5,8,32,2,0.000551,1
26,local,8,5,8,32,2,0.000345,2
27,local,9,5,16,32,2,0.000435,0
28,local,9,5,16,32,2,0.000512,1
29,local,9,5,16,32,2,0.000478,2
30,local,10,5,32,32,2,0.000304,0
31,local,10,5,32,32,2,0.000302,1
32,local,10,5,32,32,2,0.000447,2
33,local,11,5,64,32,2,0.000437,0
34,local,11,5,64,32,2,0.000555,1
35,local,11,5,64,32,2,0.0014,2
36,local,12,5,8,64,2,0.000506,0
37,local,12,5,8,64,2,0.000475,1
38,local,12,5,8,64,2,0.000381,2
39,local,13,5,16,64,2,0.000462,0
40,local,13,5,16,64,2,0.000332,1
41,local,13,5,16,64,2,0.000369,2
42,local,14,5,32,64,2,0.000407,0
43,local,14,5,32,64,2,0.000365,1
44,local,14,5,32,64,2,0.000472,2
45,local,15,5,64,64,2,0.000563,0
46,local,15,5,64,64,2,0.000273,1
47,local,15,5,64,64,2,0.000525,2
48,local,16,5,8,8,4,0.000503,0
49,local,16,5,8,8,4,0.000274,1
50,local,16,5,8,8,4,0.000424,2
51,local,17,5,16,8,4,0.000419,0
52,local,17,5,16,8,4,0.00027,1
53,local,17,5,16,8,4,0.000402,2
54,local,18,5,32,8,4,0.000267,0
55,local,18,5,32,8,4,0.00039,1
56,local,18,5,32,8,4,0.000359,2
57,local,19,5,64,8,4,0.000339,0
58,local,19,5,64,8,4,0.000407,1
59,local,19,5,64,8,4,0.00035,2
60,local,20,5,8,16,4,0.000363,0
61,local,20,5,8,16,4,0.000783,1
62,local,20,5,8,16,4,0.000268,2
63,local,21,5,16,16,4,0.000354,0
64,local,21,5,16,16,4,0.000455,1
65,local,21,5,16,16,4,0.000339,2
66,local,22,5,32,16,4,0.00054,0
67,local,22,5,32,16,4,0.000401,1
68,local,22,5,32,16,4,0.000428,2
69,local,23,5,64,16,4,0.000726,0
70,local,23,5,64,16,4,0.000362,1
71,local,23,5,64,16,4,0.00037,2
72,local,24,5,8,32,4,0.000592,0
73,local,24,5,8,32,4,0.000354,1
74,local,24,5,8,32,4,0.000516,2
75,local,25,5,16,32,4,0.00057,0
76,local,25,5,16,32,4,0.000475,1
77,local,25,5,16,32,4,0.000811,2
78,local,26,5,32,32,4,0.000426,0
79,local,26,5,32,32,4,0.000385,1
80,local,26,5,32,32,4,0.00057,2
81,local,27,5,64,32,4,0.000572,0
82,local,27,5,64,32,4,0.000592,1
83,local,27,5,64,32,4,0.000512,2
84,local,28,5,8,64,4,0.00108,0
85,local,28,5,8,64,4,0.00036,1
86,local,28,5,8,64,4,0.000641,2
87,local,29,5,16,64,4,0.000353,0
88,local,29,5,16,64,4,0.000415,1
89,local,29,5,16,64,4,0.000438,2
90,local,30,5,32,64,4,0.000547,0
