index,build,test_index,numRounds,file_size,key_size,threads,connection,cores,rate,LATENCY,REQ,TRANSFER,NBREQUEST,MEAN,StdDeviation,run_index
0,local,0,10,262144,512,2,16,1,1,15.43,8.79,2306867.2,176.0,8404.968,2578.706,0
1,local,0,10,262144,512,2,16,1,1,17.61,7.29,1908408.32,146.0,10252.151,3050.386,1
2,local,0,10,262144,512,2,16,1,1,17.15,7.39,1939865.6,148.0,10504.784,2845.236,2
3,local,0,10,262144,512,2,16,1,1,17.24,7.39,1939865.6,148.0,10556.289,2858.218,3
4,local,0,10,262144,512,2,16,1,1,17.07,7.44,1950351.36,149.0,10565.746,2811.244,4
5,local,1,10,262144,512,2,16,1,2,0.21312,2.2,576706.56,44.0,131.361,22.097,0
6,local,1,10,262144,512,2,16,1,2,0.18918000000000001,2.2,576706.56,44.0,134.965,19.14,1
7,local,1,10,262144,512,2,16,1,2,0.21528999999999998,2.2,576696.32,44.0,129.8,21.177,2
8,local,1,10,262144,512,2,16,1,2,0.21261000000000002,2.2,576696.32,44.0,132.577,21.384,3
9,local,1,10,262144,512,2,16,1,2,0.1879,2.2,576634.88,44.0,128.22,18.283,4
10,local,2,10,262144,512,2,16,1,3,0.26854,2.15,563496.96,43.0,138.771,36.442,0
11,local,2,10,262144,512,2,16,1,3,0.21696000000000001,2.2,576634.88,44.0,131.28,22.411,1
12,local,2,10,262144,512,2,16,1,3,0.19955,2.2,576675.84,44.0,128.756,18.897,2
13,local,2,10,262144,512,2,16,1,3,0.21286000000000002,2.2,576665.6,44.0,131.733,22.315,3
14,local,2,10,262144,512,2,16,1,3,0.25779,2.15,563589.12,43.0,132.406,35.776,4
15,local,3,10,262144,512,2,16,1,4,0.31616000000000005,4.4,1153433.6,88.0,154.056,51.552,0
16,local,3,10,262144,512,2,16,1,4,0.31333999999999995,4.4,1153433.6,88.0,154.925,50.66,1
17,local,3,10,262144,512,2,16,1,4,0.31923,4.4,1153433.6,88.0,156.216,52.926,2
18,local,3,10,262144,512,2,16,1,4,0.32921,4.4,1153433.6,88.0,159.37,52.195,3
19,local,3,10,262144,512,2,16,1,4,0.32512,4.4,1153433.6,88.0,157.122,55.832,4
20,local,4,10,262144,512,2,16,1,5,0.35661000000000004,4.6,1205862.4,92.0,167.637,58.168,0
21,local,4,10,262144,512,2,16,1,5,0.33459,4.4,1153433.6,88.0,159.481,55.461,1
22,local,4,10,262144,512,2,16,1,5,0.32077,4.4,1153433.6,88.0,159.958,52.929,2
23,local,4,10,262144,512,2,16,1,5,0.31872,4.4,1153433.6,88.0,156.333,52.145,3
24,local,4,10,262144,512,2,16,1,5,0.32179,4.4,1153433.6,88.0,159.421,54.316,4
25,local,5,10,262144,512,2,16,1,6,0.5158400000000001,6.6,1730150.4,132.0,230.51,94.21,0
26,local,5,10,262144,512,2,16,1,6,0.52685,6.6,1730150.4,132.0,232.441,107.926,1
27,local,5,10,262144,512,2,16,1,6,0.76902,6.75,1772093.44,135.0,274.4,129.949,2
28,local,5,10,262144,512,2,16,1,6,0.58266,6.75,1772093.44,135.0,244.597,113.383,3
29,local,5,10,262144,512,2,16,1,6,0.58214,6.75,1772093.44,135.0,242.944,116.162,4
30,local,6,10,262144,512,2,16,1,7,0.5191699999999999,6.6,1730150.4,132.0,225.303,97.462,0
31,local,6,10,262144,512,2,16,1,7,0.54323,6.6,1730150.4,132.0,235.871,105.842,1
32,local,6,10,262144,512,2,16,1,7,0.6097899999999999,6.75,1772093.44,135.0,257.37,118.91,2
33,local,6,10,262144,512,2,16,1,7,0.65792,6.6,1730150.4,132.0,242.787,112.927,3
34,local,6,10,262144,512,2,16,1,7,0.51328,6.6,1730150.4,132.0,228.429,95.641,4
35,local,7,10,262144,512,2,16,1,8,1.39,8.25,2160066.56,165.0,817.075,266.434,0
36,local,7,10,262144,512,2,16,1,8,1.75,8.35,2191523.84,167.0,884.716,332.104,1
37,local,7,10,262144,512,2,16,1,8,1.96,8.35,2191523.84,167.0,1099.152,344.019,2
38,local,7,10,262144,512,2,16,1,8,1.47,8.15,2139095.04,163.0,694.814,234.923,3
39,local,7,10,262144,512,2,16,1,8,1.29,8.35,2191523.84,167.0,814.604,284.001,4
40,local,8,10,262144,512,2,16,1,9,1.24,8.1,2128609.28,162.0,770.768,247.777,0
41,local,8,10,262144,512,2,16,1,9,1.77,8.35,2191523.84,167.0,1038.278,339.405,1
42,local,8,10,262144,512,2,16,1,9,1.3,8.35,2191523.84,167.0,789.046,278.523,2
43,local,8,10,262144,512,2,16,1,9,1.46,8.35,2191523.84,167.0,872.424,318.222,3
44,local,8,10,262144,512,2,16,1,9,2.92,8.2,2149580.8,164.0,1499.113,443.873,4
